date,cl
2018-09-21,9.3
2018-09-22,2.1
2018-09-23,4.4
2018-09-24,1.1
2018-09-25,2.1
2018-09-26,5
2018-09-27,0.9
2018-09-28,6.1
2018-09-29,0.4
2018-09-30,0.6
2018-10-01,4.5
2018-10-02,0.5
2018-10-03,0
2018-10-04,6.5
2018-10-05,9.8
2018-10-06,7.5
2018-10-07,2.9
2018-10-08,4.4
2018-10-09,9
2018-10-10,6.8
2018-10-11,1.4
2018-10-12,0
2018-10-13,0
2018-10-14,3.4
2018-10-15,4
2018-10-16,5.6
2018-10-17,0
2018-10-18,3.1
2018-10-19,0
2018-10-20,1.1
2018-10-21,2.4
2018-10-22,5.3
2018-10-23,5.4
2018-10-24,0.5
2018-10-25,4
2018-10-26,7.5
2018-10-27,1.6
2018-10-28,7.3
2018-10-29,5.9
2018-10-30,3.3
2018-10-31,0.8
2018-11-01,0
2018-11-02,0
2018-11-03,0
2018-11-04,2.1
2018-11-05,5.3
2018-11-06,6.9
2018-11-07,9.9
2018-11-08,10
2018-11-09,7.9
2018-11-10,3.1
2018-11-11,6.4
2018-11-12,0
2018-11-13,0.4
2018-11-14,0.1
2018-11-15,4.8
2018-11-16,6.5
2018-11-17,4.6
2018-11-18,6.9
2018-11-19,1.9
2018-11-20,2
2018-11-21,8.4
2018-11-22,0.8
2018-11-23,3.1
2018-11-24,9
2018-11-25,3.8
2018-11-26,0.6
2018-11-27,6.1
2018-11-28,3.8
2018-11-29,5.8
2018-11-30,1
2018-12-01,3.6
2018-12-02,6.5
2018-12-03,9.9
2018-12-04,7.8
2018-12-05,6.4
2018-12-06,8.1
2018-12-07,1.1
2018-12-08,1.4
2018-12-09,2
2018-12-10,3
2018-12-11,7.9
2018-12-12,0
2018-12-13,5
2018-12-14,0
2018-12-15,3.6
2018-12-16,9.3
2018-12-17,1.3
2018-12-18,3
2018-12-19,2.9
2018-12-20,3.1
2018-12-21,8.5
2018-12-22,4.3
2018-12-23,2.6
2018-12-24,0.3
2018-12-25,7.4
2018-12-26,4.4
2018-12-27,0.5
2018-12-28,0.6
2018-12-29,0
2018-12-30,0.8
2018-12-31,1.6
2019-01-01,3.4
2019-01-02,0
2019-01-03,0.1
2019-01-04,5.5
2019-01-05,0.5
2019-01-06,3.1
2019-01-07,4
2019-01-08,0
2019-01-09,4.9
2019-01-10,8.1
2019-01-11,6.1
2019-01-12,3.9
2019-01-13,0
2019-01-14,4.5
2019-01-15,3.8
2019-01-16,4.1
2019-01-17,1.8
2019-01-18,3
2019-01-19,7.8
2019-01-20,1.1
2019-01-21,4.1
2019-01-22,1.1
2019-01-23,0.9
2019-01-24,2.1
2019-01-25,1.3
2019-01-26,0
2019-01-27,4.3
2019-01-28,1.3
2019-01-29,2.1
2019-01-30,6.9
2019-01-31,7
2019-02-01,3
2019-02-02,7.5
2019-02-03,9.3
2019-02-04,2.4
2019-02-05,3.9
2019-02-06,8.1
2019-02-07,4.3
2019-02-08,6.1
2019-02-09,4.4
2019-02-10,7.5
2019-02-11,0.4
2019-02-12,5.6
2019-02-13,1.8
2019-02-14,5.3
2019-02-15,9.1
2019-02-16,2.4
2019-02-17,0.1
2019-02-18,7.4
2019-02-19,9.4
2019-02-20,6.5
2019-02-21,0
2019-02-22,5.4
2019-02-23,2.9
2019-02-24,1.6
2019-02-25,4.8
2019-02-26,3.6
2019-02-27,7.5
2019-02-28,3.3
2019-03-01,0.3
2019-03-02,5.8
2019-03-03,4.8
2019-03-04,2.3
2019-03-05,8.6
2019-03-06,6.3
2019-03-07,1.5
2019-03-08,0.1
2019-03-09,5.4
2019-03-10,7.1
2019-03-11,4.9
2019-03-12,4.9
2019-03-13,1.8
2019-03-14,5.5
2019-03-15,7.4
2019-03-16,5.5
2019-03-17,2
2019-03-18,6.3
2019-03-19,1.4
2019-03-20,8.8
2019-03-21,7.9
2019-03-22,0.8
2019-03-23,3
2019-03-24,0.1
2019-03-25,6.6
2019-03-26,2.6
2019-03-27,8.5
2019-03-28,6.1
2019-03-29,4.6
2019-03-30,9.4
2019-03-31,5.1
2019-04-01,1.3
2019-04-02,0.3
2019-04-03,0.3
2019-04-04,0
2019-04-05,3
2019-04-06,8.5
2019-04-07,4.4
2019-04-08,3.3
2019-04-09,9.4
2019-04-10,8.3
2019-04-11,4.6
2019-04-12,1.8
2019-04-13,5.6
2019-04-14,6
2019-04-15,0
2019-04-16,4.8
2019-04-17,3.9
2019-04-18,6.3
2019-04-19,4.8
2019-04-20,7.1
2019-04-21,7.9
2019-04-22,2.3
2019-04-23,8.4
2019-04-24,5
2019-04-25,9.4
2019-04-26,8
2019-04-27,4.8
2019-04-28,8.1
2019-04-29,5.8
2019-04-30,4.4
2019-05-01,1.9
2019-05-02,0
2019-05-03,0
2019-05-04,4.9
2019-05-05,5.1
2019-05-06,0.3
2019-05-07,0
2019-05-08,6.1
2019-05-09,3.1
2019-05-10,3.5
2019-05-11,2
2019-05-12,4.3
2019-05-13,8.3
2019-05-14,1.6
2019-05-15,4.5
2019-05-16,2.5
2019-05-17,7.5
2019-05-18,8.5
2019-05-19,10
2019-05-20,4.5
2019-05-21,0
2019-05-22,1.4
2019-05-23,0
2019-05-24,1.4
2019-05-25,7.9
2019-05-26,6
2019-05-27,8.6
2019-05-28,2.1
2019-05-29,0.4
2019-05-30,7.9
2019-05-31,2.3
2019-06-01,5.5
2019-06-02,0.6
2019-06-03,0.6
2019-06-04,3
2019-06-05,5.4
2019-06-06,9.1
2019-06-07,7.4
2019-06-08,5.9
2019-06-09,8.9
2019-06-10,8
2019-06-11,3.5
2019-06-12,1.1
2019-06-13,3.1
2019-06-14,6.1
2019-06-15,3.1
2019-06-16,3.9
